id;law;description;action;date
1;huzzah finally though;through;who through before;2024-05-06T06:13:57
2;worth;ha;till;2024-05-06T03:30:42
3;discourse;sans boohoo;whether moralise ugh;2024-05-06T07:53:46
4;especially;anchored;fruitful;2024-05-05T20:12:19
5;uncover throughout;under;vestment how provided;2024-05-05T20:40:44
6;via;toward however inversion;meanwhile;2024-05-06T00:57:17
7;ah lather able;autowind geez;chief;2024-05-06T03:46:30
8;ramie;size;through organization meaningfully;2024-05-05T22:30:55
9;decide cleverly married;limply;honored;2024-05-05T23:28:48
10;whoa rap;fumigate hardhat until;tremendously;2024-05-05T23:21:43
